Method:,Column 1,,
Host Date-Time:,14/1/21 @ 10:50:55,,
Header Version:,1,,
System Temp hundredths:,2742,,
Detector Temp hundredths:,2282,,
Humidity hundredths:,1218,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1558.329830,0.146405,419782.000000,299653.000000
1561.419298,0.149359,413789.000000,293373.000000
1564.504413,0.152270,407625.000000,287072.000000
1567.585176,0.154022,401258.000000,281450.000000
1571.686088,0.153707,392494.000000,275503.000000
1574.756695,0.153239,386060.000000,271279.000000
1577.822949,0.151900,379068.000000,267188.000000
1580.884850,0.152359,372237.000000,262096.000000
1583.942399,0.153315,365532.000000,256809.000000
1586.995595,0.153785,358457.000000,251566.000000
1590.044439,0.155315,351337.000000,245702.000000
1593.088930,0.156623,343946.000000,239810.000000
1596.129068,0.159305,337142.000000,233619.000000
1600.175815,0.161777,327373.000000,225562.000000
1603.205798,0.162644,320074.000000,220093.000000
1606.231427,0.163990,312860.000000,214467.000000
1609.252704,0.165626,305444.000000,208596.000000
1612.269629,0.165878,298028.000000,203413.000000
1615.282201,0.168605,290981.000000,197360.000000
1618.290420,0.169990,283873.000000,191926.000000
1621.294287,0.172450,276705.000000,186023.000000
1624.293801,0.176263,269751.000000,179763.000000
1628.286383,0.181804,260451.000000,171365.000000
1631.275741,0.188508,253416.000000,164182.000000
1634.260747,0.197715,246537.000000,156375.000000
1637.241400,0.205628,239613.000000,149239.000000
1640.217700,0.210476,232837.000000,143409.000000
1643.189648,0.208516,225975.000000,139812.000000
1646.157243,0.203682,219107.000000,137080.000000
1649.120486,0.197651,211528.000000,134189.000000
1652.079376,0.196131,203786.000000,129731.000000
1656.017792,0.193916,192538.000000,123197.000000
1658.966526,0.192352,183108.000000,117586.000000
1661.910907,0.197762,172102.000000,109150.000000
1664.850936,0.198848,159840.000000,101120.000000
1667.786612,0.201844,145318.000000,91301.000000
1670.717936,0.199510,129601.000000,81865.000000
1673.644907,0.196698,113097.000000,71904.000000
1676.567525,0.184978,96798.000000,63225.000000
1679.485791,0.172309,82152.000000,55247.000000
1683.370042,0.165126,65700.000000,44920.000000
1686.278151,0.162945,55737.000000,38300.000000
1689.181909,0.160956,47483.000000,32778.000000
1692.081313,0.157125,40873.000000,28465.000000
1694.976365,0.155982,35375.000000,24701.000000
1697.867065,0.150079,30676.000000,21713.000000
1700.753412,0.151818,26860.000000,18936.000000
