Method:,Column 1,,
Host Date-Time:,15/1/21 @ 12:6:2,,
Header Version:,1,,
System Temp hundredths:,2475,,
Detector Temp hundredths:,2096,,
Humidity hundredths:,783,,
Lamp PD:,3665,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1466.841888,0.302237,502990.000000,250797.000000
1470.057581,0.308744,502944.000000,247045.000000
1473.268921,0.314100,502843.000000,243968.000000
1476.475909,0.318465,502522.000000,241374.000000
1479.678544,0.322684,501687.000000,238643.000000
1483.941954,0.328498,500616.000000,234967.000000
1487.134433,0.332809,499704.000000,232222.000000
1490.322559,0.336686,498255.000000,229491.000000
1493.506333,0.340931,496773.000000,226583.000000
1496.685754,0.344369,495016.000000,224001.000000
1499.860823,0.347218,492977.000000,221620.000000
1503.031539,0.350520,491156.000000,219129.000000
1506.197903,0.352949,489004.000000,216952.000000
1509.359914,0.356373,486639.000000,214207.000000
1513.569158,0.360256,482899.000000,210669.000000
1516.721012,0.362171,479678.000000,208343.000000
1519.868515,0.364435,476890.000000,206055.000000
1523.011664,0.366044,473405.000000,203793.000000
1526.150462,0.367144,470037.000000,201831.000000
1529.284906,0.368321,466420.000000,199736.000000
1532.414998,0.369169,462360.000000,197611.000000
1535.540737,0.369793,457987.000000,195461.000000
1538.662124,0.370673,453227.000000,193038.000000
1542.817202,0.372014,447406.000000,189971.000000
1545.928433,0.372736,442064.000000,187391.000000
1549.035311,0.373490,436619.000000,184762.000000
1552.137837,0.374087,431327.000000,182272.000000
1555.236010,0.375920,425604.000000,179096.000000
1558.329830,0.378128,419782.000000,175750.000000
1561.419298,0.380645,413789.000000,172240.000000
1564.504413,0.382726,407625.000000,168863.000000
1567.585176,0.384568,401258.000000,165522.000000
1571.686088,0.387917,392494.000000,160663.000000
1574.756695,0.389027,386060.000000,157626.000000
1577.822949,0.390695,379068.000000,154178.000000
1580.884850,0.389891,372237.000000,151680.000000
1583.942399,0.390939,365532.000000,148589.000000
1586.995595,0.389421,358457.000000,146223.000000
1590.044439,0.390197,351337.000000,143063.000000
1593.088930,0.387761,343946.000000,140841.000000
1596.129068,0.386153,337142.000000,138567.000000
1600.175815,0.384191,327373.000000,135161.000000
1603.205798,0.381435,320074.000000,132989.000000
1606.231427,0.378059,312860.000000,131006.000000
1609.252704,0.375306,305444.000000,128714.000000
1612.269629,0.370187,298028.000000,127078.000000
1615.282201,0.366691,290981.000000,125076.000000
1618.290420,0.361721,283873.000000,123425.000000
1621.294287,0.358457,276705.000000,121216.000000
1624.293801,0.353199,269751.000000,119609.000000
1628.286383,0.347533,260451.000000,117002.000000
1631.275741,0.344604,253416.000000,114612.000000
1634.260747,0.338262,246537.000000,113141.000000
1637.241400,0.335669,239613.000000,110622.000000
1640.217700,0.331566,232837.000000,108514.000000
1643.189648,0.326136,225975.000000,106641.000000
1646.157243,0.323114,219107.000000,104122.000000
1649.120486,0.317731,211528.000000,101774.000000
1652.079376,0.315676,203786.000000,98514.000000
1656.017792,0.308038,192538.000000,94728.000000
1658.966526,0.304621,183108.000000,90800.000000
1661.910907,0.299785,172102.000000,86298.000000
1664.850936,0.297954,159840.000000,80488.000000
1667.786612,0.292900,145318.000000,74032.000000
1670.717936,0.290925,129601.000000,66326.000000
1673.644907,0.285035,113097.000000,58670.000000
1676.567525,0.282042,96798.000000,50562.000000
1679.485791,0.280262,82152.000000,43088.000000
1683.370042,0.281790,65700.000000,34338.000000
1686.278151,0.274984,55737.000000,29591.000000
1689.181909,0.287354,47483.000000,24501.000000
1692.081313,0.293854,40873.000000,20777.000000
1694.976365,0.292195,35375.000000,18051.000000
1697.867065,0.281621,30676.000000,16039.000000
1700.753412,0.269479,26860.000000,14442.000000
